Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit1.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit2.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit3.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit4.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit5.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit6.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit7.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit8.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit9.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit10,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit10.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit11.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit12.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit13.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://raw.githubusercontent.com/CHCHEAST-EXHIBIT/DigitalSignage/main/exhibit14.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
